Input_File	Analysis_File	Check
08d_CH_CU	08d_CH_CU	Match
08d_CH_TL	08d_CH_TL	Match
08d_PP_CH	08d_PP_CH	Match
08d_PP_CU	08d_PP_CU	Match
08d_PP_TL	08d_PP_TL	Match
08d_ST_CH	08d_ST_CH	Match
08d_ST_CU	08d_ST_CU	Match
08d_ST_PP	08d_ST_PP	Match
08d_ST_TL	08d_ST_TL	Match
08d_TL_CU	08d_TL_CU	Match
08e_AR_CH	08e_AR_CH	Match
08e_AR_CU	08e_AR_CU	Match
08e_AR_PP	08e_AR_PP	Match
08e_AR_ST	08e_AR_ST	Match
08e_AR_TL	08e_AR_TL	Match
08e_CH_CU	08e_CH_CU	Match
08e_CH_TL	08e_CH_TL	Match
08e_PP_CH	08e_PP_CH	Match
08e_PP_CU	08e_PP_CU	Match
08e_PP_TL	08e_PP_TL	Match
08e_ST_CH	08e_ST_CH	Match
08e_ST_CU	08e_ST_CU	Match
08e_ST_PP	08e_ST_PP	Match
08e_ST_TL	08e_ST_TL	Match
08e_TL_CU	08e_TL_CU	Match
08f_AR_CH	08f_AR_CH	Match
08f_AR_CU	08f_AR_CU	Match
08f_AR_PP	08f_AR_PP	Match
08f_AR_ST	08f_AR_ST	Match
08f_AR_TL	08f_AR_TL	Match
08f_CH_CU	08f_CH_CU	Match
08f_CH_TL	08f_CH_TL	Match
08f_PP_CH	08f_PP_CH	Match
08f_PP_CU	08f_PP_CU	Match
08f_PP_TL	08f_PP_TL	Match
08f_ST_CH	08f_ST_CH	Match
08f_ST_CU	08f_ST_CU	Match
08f_ST_PP	08f_ST_PP	Match
08f_ST_TL	08f_ST_TL	Match
08f_TL_CU	08f_TL_CU	Match
08g_AR_CH	08g_AR_CH	Match
08g_AR_CU	08g_AR_CU	Match
08g_AR_PP	08g_AR_PP	Match
08g_AR_ST	08g_AR_ST	Match
08g_AR_TL	08g_AR_TL	Match
08g_CH_CU	08g_CH_CU	Match
08g_CH_TL	08g_CH_TL	Match
08g_PP_CH	08g_PP_CH	Match
08g_PP_CU	08g_PP_CU	Match
08g_PP_TL	08g_PP_TL	Match
08g_ST_CH	08g_ST_CH	Match
08g_ST_CU	08g_ST_CU	Match
08g_ST_PP	08g_ST_PP	Match
08g_ST_TL	08g_ST_TL	Match
08g_TL_CU	08g_TL_CU	Match
08h_AR_CH	08h_AR_CH	Match
08h_AR_CU	08h_AR_CU	Match
08h_AR_PP	08h_AR_PP	Match
08h_AR_ST	08h_AR_ST	Match
08h_AR_TL	08h_AR_TL	Match
08h_CH_CU	08h_CH_CU	Match
08h_CH_TL	08h_CH_TL	Match
08h_PP_CH	08h_PP_CH	Match
08h_PP_CU	08h_PP_CU	Match
08h_PP_TL	08h_PP_TL	Match
08h_ST_CH	08h_ST_CH	Match
08h_ST_CU	08h_ST_CU	Match
08h_ST_PP	08h_ST_PP	Match
08h_ST_TL	08h_ST_TL	Match
08h_TL_CU	08h_TL_CU	Match
08i_AR_CH	08i_AR_CH	Match
08i_AR_CU	08i_AR_CU	Match
08i_AR_PP	08i_AR_PP	Match
08i_AR_ST	08i_AR_ST	Match
08i_AR_TL	08i_AR_TL	Match
08i_CH_CU	08i_CH_CU	Match
08i_CH_TL	08i_CH_TL	Match
08i_PP_CH	08i_PP_CH	Match
08i_PP_CU	08i_PP_CU	Match
08i_PP_TL	08i_PP_TL	Match
08i_ST_CH	08i_ST_CH	Match
08i_ST_CU	08i_ST_CU	Match
08i_ST_PP	08i_ST_PP	Match
08i_ST_TL	08i_ST_TL	Match
08i_TL_CU	08i_TL_CU	Match
08j_AR_CH	08j_AR_CH	Match
08j_AR_CU	08j_AR_CU	Match
08j_AR_PP	08j_AR_PP	Match
08j_AR_ST	08j_AR_ST	Match
08j_AR_TL	08j_AR_TL	Match
08j_CH_CU	08j_CH_CU	Match
08j_CH_TL	08j_CH_TL	Match
08j_PP_CH	08j_PP_CH	Match
08j_PP_CU	08j_PP_CU	Match
08j_PP_TL	08j_PP_TL	Match
08j_ST_CH	08j_ST_CH	Match
08j_ST_CU	08j_ST_CU	Match
08j_ST_PP	08j_ST_PP	Match
08j_ST_TL	08j_ST_TL	Match
08j_TL_CU	08j_TL_CU	Match
08k_AR_CH	08k_AR_CH	Match
08k_AR_CU	08k_AR_CU	Match
08k_AR_PP	08k_AR_PP	Match
08k_AR_ST	08k_AR_ST	Match
08k_AR_TL	08k_AR_TL	Match
08k_CH_CU	08k_CH_CU	Match
08k_CH_TL	08k_CH_TL	Match
08k_PP_CH	08k_PP_CH	Match
08k_PP_CU	08k_PP_CU	Match
08k_PP_TL	08k_PP_TL	Match
08k_ST_CH	08k_ST_CH	Match
08k_ST_CU	08k_ST_CU	Match
08k_ST_PP	08k_ST_PP	Match
08k_ST_TL	08k_ST_TL	Match
08k_TL_CU	08k_TL_CU	Match
08l_AR_CH	08l_AR_CH	Match
08l_AR_CU	08l_AR_CU	Match
08l_AR_PP	08l_AR_PP	Match
08l_AR_ST	08l_AR_ST	Match
08l_AR_TL	08l_AR_TL	Match
08l_CH_CU	08l_CH_CU	Match
08l_CH_TL	08l_CH_TL	Match
08l_PP_CH	08l_PP_CH	Match
08l_PP_CU	08l_PP_CU	Match
08l_PP_TL	08l_PP_TL	Match
08l_ST_CH	08l_ST_CH	Match
08l_ST_CU	08l_ST_CU	Match
08l_ST_PP	08l_ST_PP	Match
08l_ST_TL	08l_ST_TL	Match
08l_TL_CU	08l_TL_CU	Match
09a_AR_CH	09a_AR_CH	Match
09a_AR_CU	09a_AR_CU	Match
09a_AR_PP	09a_AR_PP	Match
09a_AR_ST	09a_AR_ST	Match
09a_AR_TL	09a_AR_TL	Match
09a_CH_CU	09a_CH_CU	Match
09a_CH_TL	09a_CH_TL	Match
09a_PP_CH	09a_PP_CH	Match
09a_PP_CU	09a_PP_CU	Match
09a_PP_TL	09a_PP_TL	Match
09a_ST_CH	09a_ST_CH	Match
09a_ST_CU	09a_ST_CU	Match
09a_ST_PP	09a_ST_PP	Match
09a_ST_TL	09a_ST_TL	Match
09a_TL_CU	09a_TL_CU	Match
09b_AR_CH	09b_AR_CH	Match
09b_AR_CU	09b_AR_CU	Match
09b_AR_PP	09b_AR_PP	Match
09b_AR_ST	09b_AR_ST	Match
09b_AR_TL	09b_AR_TL	Match
09b_CH_CU	09b_CH_CU	Match
09b_CH_TL	09b_CH_TL	Match
09b_PP_CH	09b_PP_CH	Match
09b_PP_CU	09b_PP_CU	Match
09b_PP_TL	09b_PP_TL	Match
09b_ST_CH	09b_ST_CH	Match
09b_ST_CU	09b_ST_CU	Match
09b_ST_PP	09b_ST_PP	Match
09b_ST_TL	09b_ST_TL	Match
09b_TL_CU	09b_TL_CU	Match
09c_AR_CH	09c_AR_CH	Match
09c_AR_CU	09c_AR_CU	Match
09c_AR_PP	09c_AR_PP	Match
09c_AR_ST	09c_AR_ST	Match
09c_AR_TL	09c_AR_TL	Match
09c_CH_CU	09c_CH_CU	Match
09c_CH_TL	09c_CH_TL	Match
09c_PP_CH	09c_PP_CH	Match
09c_PP_CU	09c_PP_CU	Match
09c_PP_TL	09c_PP_TL	Match
09c_ST_CH	09c_ST_CH	Match
09c_ST_CU	09c_ST_CU	Match
09c_ST_PP	09c_ST_PP	Match
09c_ST_TL	09c_ST_TL	Match
09c_TL_CU	09c_TL_CU	Match
10a_AR_CH	10a_AR_CH	Match
10a_AR_CU	10a_AR_CU	Match
10a_AR_PP	10a_AR_PP	Match
10a_AR_ST	10a_AR_ST	Match
10a_AR_TL	10a_AR_TL	Match
10a_CH_CU	10a_CH_CU	Match
10a_CH_TL	10a_CH_TL	Match
10a_PP_CH	10a_PP_CH	Match
10a_PP_CU	10a_PP_CU	Match
10a_PP_TL	10a_PP_TL	Match
10a_ST_CH	10a_ST_CH	Match
10a_ST_CU	10a_ST_CU	Match
10a_ST_PP	10a_ST_PP	Match
10a_ST_TL	10a_ST_TL	Match
10a_TL_CU	10a_TL_CU	Match
10b_AR_CH	10b_AR_CH	Match
10b_AR_CU	10b_AR_CU	Match
10b_AR_PP	10b_AR_PP	Match
10b_AR_ST	10b_AR_ST	Match
10b_AR_TL	10b_AR_TL	Match
10b_CH_CU	10b_CH_CU	Match
10b_CH_TL	10b_CH_TL	Match
10b_PP_CH	10b_PP_CH	Match
10b_PP_CU	10b_PP_CU	Match
10b_PP_TL	10b_PP_TL	Match
10b_ST_CH	10b_ST_CH	Match
10b_ST_CU	10b_ST_CU	Match
10b_ST_PP	10b_ST_PP	Match
10b_ST_TL	10b_ST_TL	Match
10b_TL_CU	10b_TL_CU	Match
11a_AR_CH	11a_AR_CH	Match
11a_AR_CU	11a_AR_CU	Match
11a_AR_PP	11a_AR_PP	Match
11a_AR_ST	11a_AR_ST	Match
11a_AR_TL	11a_AR_TL	Match
11a_CH_CU	11a_CH_CU	Match
11a_CH_TL	11a_CH_TL	Match
11a_PP_CH	11a_PP_CH	Match
11a_PP_CU	11a_PP_CU	Match
11a_PP_TL	11a_PP_TL	Match
11a_ST_CH	11a_ST_CH	Match
11a_ST_CU	11a_ST_CU	Match
11a_ST_PP	11a_ST_PP	Match
11a_ST_TL	11a_ST_TL	Match
11a_TL_CU	11a_TL_CU	Match
11b_AR_CH	11b_AR_CH	Match
11b_AR_CU	11b_AR_CU	Match
11b_AR_PP	11b_AR_PP	Match
11b_AR_ST	11b_AR_ST	Match
11b_AR_TL	11b_AR_TL	Match
11b_CH_CU	11b_CH_CU	Match
11b_CH_TL	11b_CH_TL	Match
11b_PP_CH	11b_PP_CH	Match
11b_PP_CU	11b_PP_CU	Match
11b_PP_TL	11b_PP_TL	Match
11b_ST_CH	11b_ST_CH	Match
11b_ST_CU	11b_ST_CU	Match
11b_ST_PP	11b_ST_PP	Match
11b_ST_TL	11b_ST_TL	Match
11b_TL_CU	11b_TL_CU	Match
11c_AR_CH	11c_AR_CH	Match
11c_AR_CU	11c_AR_CU	Match
11c_AR_PP	11c_AR_PP	Match
11c_AR_ST	11c_AR_ST	Match
11c_AR_TL	11c_AR_TL	Match
11c_CH_CU	11c_CH_CU	Match
11c_CH_TL	11c_CH_TL	Match
11c_PP_CH	11c_PP_CH	Match
11c_PP_CU	11c_PP_CU	Match
11c_PP_TL	11c_PP_TL	Match
11c_ST_CH	11c_ST_CH	Match
11c_ST_CU	11c_ST_CU	Match
11c_ST_PP	11c_ST_PP	Match
11c_ST_TL	11c_ST_TL	Match
11c_TL_CU	11c_TL_CU	Match
11d_AR_CH	11d_AR_CH	Match
11d_AR_CU	11d_AR_CU	Match
11d_AR_PP	11d_AR_PP	Match
11d_AR_ST	11d_AR_ST	Match
11d_AR_TL	11d_AR_TL	Match
11d_CH_CU	11d_CH_CU	Match
11d_CH_TL	11d_CH_TL	Match
11d_PP_CH	11d_PP_CH	Match
11d_PP_CU	11d_PP_CU	Match
11d_PP_TL	11d_PP_TL	Match
11d_ST_CH	11d_ST_CH	Match
11d_ST_CU	11d_ST_CU	Match
11d_ST_PP	11d_ST_PP	Match
11d_ST_TL	11d_ST_TL	Match
11d_TL_CU	11d_TL_CU	Match
11e_AR_CH	11e_AR_CH	Match
11e_AR_CU	11e_AR_CU	Match
11e_AR_PP	11e_AR_PP	Match
11e_AR_ST	11e_AR_ST	Match
11e_AR_TL	11e_AR_TL	Match
11e_CH_CU	11e_CH_CU	Match
11e_CH_TL	11e_CH_TL	Match
11e_PP_CH	11e_PP_CH	Match
11e_PP_CU	11e_PP_CU	Match
11e_PP_TL	11e_PP_TL	Match
11e_ST_CH	11e_ST_CH	Match
11e_ST_CU	11e_ST_CU	Match
11e_ST_PP	11e_ST_PP	Match
11e_ST_TL	11e_ST_TL	Match
11e_TL_CU	11e_TL_CU	Match
12a_AR_CH	12a_AR_CH	Match
12a_AR_CU	12a_AR_CU	Match
12a_AR_PP	12a_AR_PP	Match
12a_AR_ST	12a_AR_ST	Match
12a_AR_TL	12a_AR_TL	Match
12a_CH_CU	12a_CH_CU	Match
12a_CH_TL	12a_CH_TL	Match
12a_PP_CH	12a_PP_CH	Match
12a_PP_CU	12a_PP_CU	Match
12a_PP_TL	12a_PP_TL	Match
12a_ST_CH	12a_ST_CH	Match
12a_ST_CU	12a_ST_CU	Match
12a_ST_PP	12a_ST_PP	Match
12a_ST_TL	12a_ST_TL	Match
12a_TL_CU	12a_TL_CU	Match
13a_AR_CH	13a_AR_CH	Match
13a_AR_CU	13a_AR_CU	Match
13a_AR_PP	13a_AR_PP	Match
13a_AR_ST	13a_AR_ST	Match
13a_AR_TL	13a_AR_TL	Match
13a_CH_CU	13a_CH_CU	Match
13a_CH_TL	13a_CH_TL	Match
13a_PP_CH	13a_PP_CH	Match
13a_PP_CU	13a_PP_CU	Match
13a_PP_TL	13a_PP_TL	Match
13a_ST_CH	13a_ST_CH	Match
13a_ST_CU	13a_ST_CU	Match
13a_ST_PP	13a_ST_PP	Match
13a_ST_TL	13a_ST_TL	Match
13a_TL_CU	13a_TL_CU	Match
14a_AR_CH	14a_AR_CH	Match
14a_AR_CU	14a_AR_CU	Match
14a_AR_PP	14a_AR_PP	Match
14a_AR_ST	14a_AR_ST	Match
14a_AR_TL	14a_AR_TL	Match
14a_CH_CU	14a_CH_CU	Match
14a_CH_TL	14a_CH_TL	Match
14a_PP_CH	14a_PP_CH	Match
14a_PP_CU	14a_PP_CU	Match
14a_PP_TL	14a_PP_TL	Match
14a_ST_CH	14a_ST_CH	Match
14a_ST_CU	14a_ST_CU	Match
14a_ST_PP	14a_ST_PP	Match
14a_ST_TL	14a_ST_TL	Match
14a_TL_CU	14a_TL_CU	Match
14b_AR_CH	14b_AR_CH	Match
14b_AR_CU	14b_AR_CU	Match
14b_AR_PP	14b_AR_PP	Match
14b_AR_ST	14b_AR_ST	Match
14b_AR_TL	14b_AR_TL	Match
14b_CH_CU	14b_CH_CU	Match
14b_CH_TL	14b_CH_TL	Match
14b_PP_CH	14b_PP_CH	Match
14b_PP_CU	14b_PP_CU	Match
14b_PP_TL	14b_PP_TL	Match
14b_ST_CH	14b_ST_CH	Match
14b_ST_CU	14b_ST_CU	Match
14b_ST_PP	14b_ST_PP	Match
14b_ST_TL	14b_ST_TL	Match
14b_TL_CU	14b_TL_CU	Match
14c_AR_CH	14c_AR_CH	Match
14c_AR_CU	14c_AR_CU	Match
14c_AR_PP	14c_AR_PP	Match
14c_AR_ST	14c_AR_ST	Match
14c_AR_TL	14c_AR_TL	Match
14c_CH_CU	14c_CH_CU	Match
14c_CH_TL	14c_CH_TL	Match
14c_PP_CH	14c_PP_CH	Match
14c_PP_CU	14c_PP_CU	Match
14c_PP_TL	14c_PP_TL	Match
14c_ST_CH	14c_ST_CH	Match
14c_ST_CU	14c_ST_CU	Match
14c_ST_PP	14c_ST_PP	Match
14c_ST_TL	14c_ST_TL	Match
14c_TL_CU	14c_TL_CU	Match
14d_AR_CH	14d_AR_CH	Match
14d_AR_CU	14d_AR_CU	Match
14d_AR_PP	14d_AR_PP	Match
14d_AR_ST	14d_AR_ST	Match
14d_AR_TL	14d_AR_TL	Match
14d_CH_CU	14d_CH_CU	Match
14d_CH_TL	14d_CH_TL	Match
14d_PP_CH	14d_PP_CH	Match
14d_PP_CU	14d_PP_CU	Match
14d_PP_TL	14d_PP_TL	Match
14d_ST_CH	14d_ST_CH	Match
14d_ST_CU	14d_ST_CU	Match
14d_ST_PP	14d_ST_PP	Match
14d_ST_TL	14d_ST_TL	Match
14d_TL_CU	14d_TL_CU	Match
14e_AR_CH	14e_AR_CH	Match
14e_AR_CU	14e_AR_CU	Match
14e_AR_PP	14e_AR_PP	Match
14e_AR_ST	14e_AR_ST	Match
14e_AR_TL	14e_AR_TL	Match
14e_CH_CU	14e_CH_CU	Match
14e_CH_TL	14e_CH_TL	Match
14e_PP_CH	14e_PP_CH	Match
14e_PP_CU	14e_PP_CU	Match
14e_PP_TL	14e_PP_TL	Match
14e_ST_CH	14e_ST_CH	Match
14e_ST_CU	14e_ST_CU	Match
14e_ST_PP	14e_ST_PP	Match
14e_ST_TL	14e_ST_TL	Match
14e_TL_CU	14e_TL_CU	Match
14f_AR_CH	14f_AR_CH	Match
14f_AR_CU	14f_AR_CU	Match
14f_AR_PP	14f_AR_PP	Match
14f_AR_ST	14f_AR_ST	Match
14f_AR_TL	14f_AR_TL	Match
14f_CH_CU	14f_CH_CU	Match
14f_CH_TL	14f_CH_TL	Match
14f_PP_CH	14f_PP_CH	Match
14f_PP_CU	14f_PP_CU	Match
14f_PP_TL	14f_PP_TL	Match
14f_ST_CH	14f_ST_CH	Match
14f_ST_CU	14f_ST_CU	Match
14f_ST_PP	14f_ST_PP	Match
14f_ST_TL	14f_ST_TL	Match
14f_TL_CU	14f_TL_CU	Match
14g_AR_CH	14g_AR_CH	Match
14g_AR_CU	14g_AR_CU	Match
14g_AR_PP	14g_AR_PP	Match
14g_AR_ST	14g_AR_ST	Match
14g_AR_TL	14g_AR_TL	Match
14g_CH_CU	14g_CH_CU	Match
14g_CH_TL	14g_CH_TL	Match
14g_PP_CH	14g_PP_CH	Match
14g_PP_CU	14g_PP_CU	Match
14g_PP_TL	14g_PP_TL	Match
14g_ST_CH	14g_ST_CH	Match
14g_ST_CU	14g_ST_CU	Match
14g_ST_PP	14g_ST_PP	Match
14g_ST_TL	14g_ST_TL	Match
14g_TL_CU	14g_TL_CU	Match
14h_AR_CH	14h_AR_CH	Match
14h_AR_CU	14h_AR_CU	Match
14h_AR_PP	14h_AR_PP	Match
14h_AR_ST	14h_AR_ST	Match
14h_AR_TL	14h_AR_TL	Match
14h_CH_CU	14h_CH_CU	Match
14h_CH_TL	14h_CH_TL	Match
14h_PP_CH	14h_PP_CH	Match
14h_PP_CU	14h_PP_CU	Match
14h_PP_TL	14h_PP_TL	Match
14h_ST_CH	14h_ST_CH	Match
14h_ST_CU	14h_ST_CU	Match
14h_ST_PP	14h_ST_PP	Match
14h_ST_TL	14h_ST_TL	Match
14h_TL_CU	14h_TL_CU	Match
